    机械设备、五金交电及电子产品批发	160743
    贸易经纪与代理	42780
    其他批发	163623
    综合零售	1756329
    食品、饮料及烟草制品专门零售	1124420
    纺织、服装及日用品专门零售	1024299
    文化、体育用品及器材专门零售	141898
    医药及医疗器材专门零售	148444
    汽车、摩托车、燃料及零配件专门零售	192216
    家用电器及电子产品专门零售	363655
    五金、家具及室内装修材料专门零售	375155
    无店铺及其他零售	189373
    旅游饭店	166858
    一般旅馆	133157
    其他住宿服务	21213
    正餐服务	1099234
    快餐服务	270987
    饮料及冷饮服务	29014
    其他餐饮服务	232722
    中央银行	25113
    商业银行	257602
    其他银行	57519
    证券市场管理	4410
    证券经纪与交易	16428
    证券投资	11414
    证券分析与咨询	1904
    人寿保险	117485
    非人寿保险	38185
    保险辅助服务	4048
    金融信托与管理	15262
    金融租赁	1700
    财务公司	6566
    邮政储蓄	10713
    典当	2925
    其他未列明的金融活动	9888
    房地产开发经营	177632
    物业管理	236926
    房地产中介服务	53846
    其他房地产活动	12617
    机械设备租赁	33165
    文化及日用品出租	6345
    企业管理服务	71015
    法律服务	25664
    咨询与调查	49704
    广告业	82299
    知识产权服务	2977
    职业中介服务	37658
    市场管理	15477
    旅行社	43712
    其他商务服务	123306
    自然科学研究与试验发展	12292
    工程和技术研究与试验发展	36039
    农业科学研究与试验发展	10148
    医学研究与试验发展	4299
    社会人文科学研究与试验发展	2977
    气象服务	8134
    地震服务	2431
    海洋服务	1394
    测绘服务	5046
    技术检测	17989
    环境监测	3740
    工程技术与规划管理	58703
    其他专业技术服务	14180
    技术推广服务	13681
    科技中介服务	3936
    其他科技服务	4048
    矿产地质勘查	20149
    基础地质勘查	4960
    地质勘查技术服务	5469
    防洪管理	5661
    水资源管理	31956
    其他水利管理	6710
    自然保护	4102
    环境治理	120202
    市政公共设施管理	38937
    城市绿化管理	32726
    游览景区管理	27270
    家庭服务	173749
    托儿所	8510
    洗染服务	27660
    理发及美容保健服务	306032
    洗浴服务	68090
    婚姻服务	8792
    殡葬服务	13550
    摄影扩印服务	40210
    其他居民服务	175576
    修理与维护	391270
    清洁服务	102979
    其他未列明的服务	71572
    学前教育	165719
    初等教育	501034
    中等教育	659111
    高等教育	227719
    其他教育	97416
    医院	545874
    卫生院及社区医疗活动	115311
    门诊部医疗活动	79284
    计划生育技术服务活动	10830
    妇幼保健活动	12477
    专科疾病防治活动	5167
    疾病预防控制及防疫活动	18206
    其他卫生活动	15710
    社会保障业	13484
    提供住宿的社会福利	14531
    不提供住宿的社会福利	3166
    新闻业	11232
    出版业	42904
    广播	15101
    电视	32801
    电影	10389
    音像制作	10719
    文艺创作与表演	19035
    艺术表演场馆	5044
    图书馆与档案馆	8377
    文物及文化保护	3074
    博物馆	4697
    烈士陵园、纪念馆	1161
    群众文化活动	4538
    文化艺术经纪代理	1331
    其他文化艺术	3813
    体育组织	7668
    体育场馆	4030
    其他体育	2106
    室内娱乐活动	87041
    游乐园	6126
    休闲健身娱乐活动	26466
    其他娱乐活动	16848
    中国共产党机关	21558
    国家权力机构	32711
    国家行政机构	1384645
    人民法院和人民检察院	58934
    其他国家机构	44174
    人民政协	7082
    民主党派	1021
    群众团体	14801
    社会团体	23538
    宗教组织	14878
    社区自治组织	84807
    村民自治组织	148068
    国际组织	658
